sub,seed_age,seed_roi,target_age,target_roi,corr
NDAREG930XPP,5,lLO,7.995779,lLO,-0.023949276021652942
NDAREG930XPP,5,lLO,7.995779,rLO,-0.008597525329344824
NDAREG930XPP,5,lLO,7.995779,lFFA,0.0005293982893816126
NDAREG930XPP,5,lLO,7.995779,rFFA,0.04099018383008835
NDAREG930XPP,5,lLO,7.995779,rOFA,0.022677363306681908
NDAREK255DEE,5,lLO,6.508898,lLO,0.05497880637405849
NDAREK255DEE,5,lLO,6.508898,rLO,0.035188391512547976
NDAREK255DEE,5,lLO,6.508898,lFFA,0.04915754705287649
NDAREK255DEE,5,lLO,6.508898,rFFA,0.015145856195744512
NDAREK255DEE,5,lLO,6.508898,rOFA,0.02490460006520602
NDARKG460MWV,5,lLO,7.174309,lLO,0.04652965941799124
NDARKG460MWV,5,lLO,7.174309,rLO,0.043700787152849425
NDARKG460MWV,5,lLO,7.174309,lFFA,0.03334452766871043
NDARKG460MWV,5,lLO,7.174309,rFFA,0.05834571662439244
NDARKG460MWV,5,lLO,7.174309,rOFA,0.036294302047997794
NDARVL498YX5,5,lLO,7.155487,lLO,0.002869358271134154
NDARVL498YX5,5,lLO,7.155487,rLO,0.030797000523708037
NDARVL498YX5,5,lLO,7.155487,lFFA,-0.022129261744446495
NDARVL498YX5,5,lLO,7.155487,rFFA,0.011146034446132092
NDARVL498YX5,5,lLO,7.155487,rOFA,0.015048449533926892
NDARAC857HDB,5,lLO,6.975017,lLO,0.05756972533415568
NDARAC857HDB,5,lLO,6.975017,rLO,0.053868815273574434
NDARAC857HDB,5,lLO,6.975017,lFFA,0.04068589307807724
NDARAC857HDB,5,lLO,6.975017,rFFA,0.014670038285319204
NDARAC857HDB,5,lLO,6.975017,rOFA,0.050976441776133884
NDARAD615WLJ,5,lLO,6.304243,lLO,0.04081728927966014
NDARAD615WLJ,5,lLO,6.304243,rLO,0.02244935695210036
NDARAD615WLJ,5,lLO,6.304243,lFFA,0.054792735481104214
NDARAD615WLJ,5,lLO,6.304243,rFFA,-0.0006666588142267881
NDARAD615WLJ,5,lLO,6.304243,rOFA,0.025422587390258097
NDARBL214YLX,5,lLO,6.218913,lLO,-0.0005093616817343328
NDARBL214YLX,5,lLO,6.218913,rLO,0.00802959141040902
NDARBL214YLX,5,lLO,6.218913,lFFA,-0.014718514488155265
NDARBL214YLX,5,lLO,6.218913,rFFA,-0.010852698524522504
NDARBL214YLX,5,lLO,6.218913,rOFA,0.009649313189156815
NDARCW497XW2,5,lLO,7.757472,lLO,0.013197500262034312
NDARCW497XW2,5,lLO,7.757472,rLO,0.06469158165151964
